event_id,round_number,heat_id,heat_number,athlete_id,singlet,name,score,waves
4446,1,98889,1,3994,red,Y. Dora,9.00,5.83 + 3.17
4446,1,98889,1,3737,blue,M. McGillivray,12.34,7.17 + 5.17
4446,1,98889,1,8905,white,K. Matson,5.30,4.50 + 0.80
4446,1,98890,2,1085,red,G. Medina,12.33,8.33 + 4.00
4446,1,98890,2,9654,blue,C. Robson,13.67,9.00 + 4.67
4446,1,98890,2,2760,white,D. Silva,4.64,2.87 + 1.77
4446,1,98891,3,3442,red,J. Robinson,12.27,6.40 + 5.87
4446,1,98891,3,9112,blue,R. Waida,1.70,1.00 + 0.70
4446,1,98891,3,553,white,K. Slater,11.67,7.17 + 4.50
4446,1,98892,4,3165,red,G. Colapinto,10.07,8.50 + 1.57
4446,1,98892,4,3955,blue,S. Moniz,6.80,5.17 + 1.63
4446,1,98892,4,1349,white,R. Boukhiam,9.66,5.83 + 3.83
4446,1,98893,5,4133,red,E. Ewing,8.33,6.33 + 2.00
4446,1,98893,5,7012,blue,C. Houshmand,7.03,5.83 + 1.20
4446,1,98893,5,8907,white,J. Bunch,10.17,8.77 + 1.40
4446,1,98894,6,1456,yellow,F. Toledo,1.77,1.27 + 0.50
4446,1,98894,6,8784,blue,S. Pupo,13.00,7.33 + 5.67
4446,1,98894,6,14110,white,S. Crawford,9.27,8.00 + 1.27
4446,1,98895,7,199,red,J. Florence,15.20,8.33 + 6.87
4446,1,98895,7,1291,blue,C. Ibelli,9.83,7.50 + 2.33
4446,1,98895,7,3122,white,J. Marshall,14.47,7.87 + 6.60
4446,1,98896,8,2656,red,L. Fioravanti,6.60,4.67 + 1.93
4446,1,98896,8,6963,blue,L. O'Brien,3.60,2.00 + 1.60
4446,1,98896,8,1343,white,F. Morais,4.57,4.17 + 0.40
4446,1,98897,9,1760,red,R. Callinan,10.33,6.83 + 3.50
4446,1,98897,9,564,blue,J. Smith,3.10,2.17 + 0.93
4446,1,98897,9,4491,white,I. deVault,9.84,8.17 + 1.67
4446,1,98898,10,2838,red,C. O'Leary,4.40,3.17 + 1.23
4446,1,98898,10,3896,blue,K. Igarashi,7.50,5.17 + 2.33
4446,1,98898,10,10786,white,E. Hanneman,9.70,6.83 + 2.87
4446,1,98899,11,3962,red,B. Mamiya,14.10,8.93 + 5.17
4446,1,98899,11,2618,blue,I. Gentil,5.50,3.50 + 2.00
4446,1,98899,11,9853,white,C. Colapinto,11.83,7.33 + 4.50
4446,1,98900,12,688,red,M. Pupo,14.10,7.60 + 6.50
4446,1,98900,12,1737,blue,I. Ferreira,12.10,6.10 + 6.00
4446,1,98900,12,3047,white,J. Willcox,10.50,5.50 + 5.00
4446,2,98901,1,1456,yellow,F. Toledo,––,0
4446,2,98901,1,3955,blue,S. Moniz,––,0
4446,2,98901,1,2760,white,D. Silva,––,0
4446,2,98902,2,2838,red,C. O'Leary,12.33,6.33 + 6.00
4446,2,98902,2,9112,blue,R. Waida,6.50,4.33 + 2.17
4446,2,98902,2,8905,white,K. Matson,8.37,4.50 + 3.87
4446,2,98903,3,2618,red,I. Gentil,8.86,4.93 + 3.93
4446,2,98903,3,1291,blue,C. Ibelli,6.17,4.00 + 2.17
4446,2,98903,3,3047,white,J. Willcox,10.16,5.33 + 4.83
4446,2,98904,4,564,red,J. Smith,10.00,5.17 + 4.83
4446,2,98904,4,6963,blue,L. O'Brien,12.33,8.50 + 3.83
4446,2,98904,4,7012,white,C. Houshmand,5.77,4.50 + 1.27
4446,7,98935,1,3962,red,B. Mamiya,16.00,0
4446,7,98935,1,199,blue,J. Florence,15.33,0
4446,3,98905,1,4133,red,E. Ewing,12.66,0
4446,3,98905,1,553,white,K. Slater,4.27,0
4446,3,98906,2,8784,blue,S. Pupo,11.83,0
4446,3,98906,2,6963,white,L. O'Brien,12.17,0
4446,3,98907,3,1760,red,R. Callinan,7.84,0
4446,3,98907,3,3122,white,J. Marshall,13.77,0
4446,3,98908,4,2838,blue,C. O'Leary,8.00,0
4446,3,98908,4,8907,white,J. Bunch,6.84,0
4446,3,98909,5,3442,red,J. Robinson,10.16,0
4446,3,98909,5,1349,white,R. Boukhiam,10.83,0
4446,3,98910,6,1737,blue,I. Ferreira,12.04,0
4446,3,98910,6,564,white,J. Smith,13.67,0
4446,3,98911,7,3962,red,B. Mamiya,14.16,0
4446,3,98911,7,1343,white,F. Morais,7.00,0
4446,3,98912,8,3994,blue,Y. Dora,14.10,0
4446,3,98912,8,3047,white,J. Willcox,12.20,0
4446,4,98921,1,4133,red,E. Ewing,14.83,0
4446,4,98921,1,6963,white,L. O'Brien,12.00,0
4446,4,98922,2,3122,blue,J. Marshall,6.43,0
4446,4,98922,2,2838,white,C. O'Leary,7.93,0
4446,4,98923,3,1349,red,R. Boukhiam,4.17,0
4446,4,98923,3,564,white,J. Smith,16.50,0
4446,4,98924,4,3962,blue,B. Mamiya,9.50,0
4446,4,98924,4,3994,white,Y. Dora,1.74,0
4446,5,98929,1,4133,red,E. Ewing,2.73,0
4446,5,98929,1,2838,blue,C. O'Leary,11.50,0
4446,5,98930,2,564,red,J. Smith,4.33,0
4446,5,98930,2,3962,blue,B. Mamiya,14.50,0
4446,6,98933,1,2838,red,C. O'Leary,7.43,0
4446,6,98933,1,3962,blue,B. Mamiya,18.84,0
4446,3,98913,9,3165,red,G. Colapinto,11.17,0
4446,3,98913,9,14110,white,S. Crawford,10.33,0
4446,3,98914,10,2618,blue,I. Gentil,10.67,0
4446,3,98914,10,3896,white,K. Igarashi,5.40,0
4446,3,98915,11,1085,red,G. Medina,2.73,0
4446,3,98915,11,9853,white,C. Colapinto,8.86,0
4446,3,98916,12,688,blue,M. Pupo,10.10,0
