event_id,round_number,heat_id,heat_number,athlete_id,singlet,name,score,waves,tour_code,event_window,event_name,event_location,event_url
4459,1,101284,1,1739,red,J. Defay,13.33,7.00 + 6.33,WCT,Jun 6 - 15,Surf City El Salvador Pro,"Punta Roca, La Libertad, El Salvador",https://www.worldsurfleague.com/events/2024/ct/202/surf-city-el-salvador-pro/results
4459,1,101284,1,4688,blue,C. Marks,12.43,7.50 + 4.93,WCT,Jun 6 - 15,Surf City El Salvador Pro,"Punta Roca, La Libertad, El Salvador",https://www.worldsurfleague.com/events/2024/ct/202/surf-city-el-salvador-pro/results
4459,1,101284,1,1433,white,T. Wright,10.57,5.57 + 5.00,WCT,Jun 6 - 15,Surf City El Salvador Pro,"Punta Roca, La Libertad, El Salvador",https://www.worldsurfleague.com/events/2024/ct/202/surf-city-el-salvador-pro/results
4459,1,101285,2,3971,yellow,B. Hennessy,12.80,6.50 + 6.30,WCT,Jun 6 - 15,Surf City El Salvador Pro,"Punta Roca, La Libertad, El Salvador",https://www.worldsurfleague.com/events/2024/ct/202/surf-city-el-salvador-pro/results
4459,1,101285,2,14286,blue,B. Johnson,12.20,7.17 + 5.03,WCT,Jun 6 - 15,Surf City El Salvador Pro,"Punta Roca, La Libertad, El Salvador",https://www.worldsurfleague.com/events/2024/ct/202/surf-city-el-salvador-pro/results
4459,1,101285,2,4643,white,L. McGonagle,8.40,4.47 + 3.93,WCT,Jun 6 - 15,Surf City El Salvador Pro,"Punta Roca, La Libertad, El Salvador",https://www.worldsurfleague.com/events/2024/ct/202/surf-city-el-salvador-pro/results
4459,1,101286,3,13369,red,C. Simmers,12.16,6.33 + 5.83,WCT,Jun 6 - 15,Surf City El Salvador Pro,"Punta Roca, La Libertad, El Salvador",https://www.worldsurfleague.com/events/2024/ct/202/surf-city-el-salvador-pro/results
4459,1,101286,3,2026,blue,T. Weston-Webb,10.40,6.40 + 4.00,WCT,Jun 6 - 15,Surf City El Salvador Pro,"Punta Roca, La Libertad, El Salvador",https://www.worldsurfleague.com/events/2024/ct/202/surf-city-el-salvador-pro/results
4459,1,101286,3,2156,white,L. Peterson,6.36,3.33 + 3.03,WCT,Jun 6 - 15,Surf City El Salvador Pro,"Punta Roca, La Libertad, El Salvador",https://www.worldsurfleague.com/events/2024/ct/202/surf-city-el-salvador-pro/results
4459,1,101287,4,10979,red,M. Picklum,13.90,7.90 + 6.00,WCT,Jun 6 - 15,Surf City El Salvador Pro,"Punta Roca, La Libertad, El Salvador",https://www.worldsurfleague.com/events/2024/ct/202/surf-city-el-salvador-pro/results
4459,1,101287,4,7854,blue,G. Bryan,12.36,6.43 + 5.93,WCT,Jun 6 - 15,Surf City El Salvador Pro,"Punta Roca, La Libertad, El Salvador",https://www.worldsurfleague.com/events/2024/ct/202/surf-city-el-salvador-pro/results
4459,1,101287,4,14425,white,S. Lindblad,12.93,7.50 + 5.43,WCT,Jun 6 - 15,Surf City El Salvador Pro,"Punta Roca, La Libertad, El Salvador",https://www.worldsurfleague.com/events/2024/ct/202/surf-city-el-salvador-pro/results
4459,2,101288,1,4688,red,C. Marks,14.50,7.67 + 6.83,WCT,Jun 6 - 15,Surf City El Salvador Pro,"Punta Roca, La Libertad, El Salvador",https://www.worldsurfleague.com/events/2024/ct/202/surf-city-el-salvador-pro/results
4459,2,101288,1,4643,blue,L. McGonagle,12.03,6.43 + 5.60,WCT,Jun 6 - 15,Surf City El Salvador Pro,"Punta Roca, La Libertad, El Salvador",https://www.worldsurfleague.com/events/2024/ct/202/surf-city-el-salvador-pro/results
4459,2,101289,2,2026,red,T. Weston-Webb,13.43,8.00 + 5.43,WCT,Jun 6 - 15,Surf City El Salvador Pro,"Punta Roca, La Libertad, El Salvador",https://www.worldsurfleague.com/events/2024/ct/202/surf-city-el-salvador-pro/results
4459,2,101289,2,14425,blue,S. Lindblad,10.33,5.83 + 4.50,WCT,Jun 6 - 15,Surf City El Salvador Pro,"Punta Roca, La Libertad, El Salvador",https://www.worldsurfleague.com/events/2024/ct/202/surf-city-el-salvador-pro/results
4459,2,101290,3,7854,red,G. Bryan,14.33,7.83 + 6.50,WCT,Jun 6 - 15,Surf City El Salvador Pro,"Punta Roca, La Libertad, El Salvador",https://www.worldsurfleague.com/events/2024/ct/202/surf-city-el-salvador-pro/results
4459,2,101290,3,2156,blue,L. Peterson,13.44,6.77 + 6.67,WCT,Jun 6 - 15,Surf City El Salvador Pro,"Punta Roca, La Libertad, El Salvador",https://www.worldsurfleague.com/events/2024/ct/202/surf-city-el-salvador-pro/results
4459,2,101291,4,14286,red,B. Johnson,13.97,7.27 + 6.70,WCT,Jun 6 - 15,Surf City El Salvador Pro,"Punta Roca, La Libertad, El Salvador",https://www.worldsurfleague.com/events/2024/ct/202/surf-city-el-salvador-pro/results
4459,2,101291,4,1433,blue,T. Wright,12.00,6.67 + 5.33,WCT,Jun 6 - 15,Surf City El Salvador Pro,"Punta Roca, La Libertad, El Salvador",https://www.worldsurfleague.com/events/2024/ct/202/surf-city-el-salvador-pro/results
4459,5,101298,1,7854,red,G. Bryan,14.46,0,WCT,Jun 6 - 15,Surf City El Salvador Pro,"Punta Roca, La Libertad, El Salvador",https://www.worldsurfleague.com/events/2024/ct/202/surf-city-el-salvador-pro/results
4459,5,101298,1,4688,blue,C. Marks,14.80,0,WCT,Jun 6 - 15,Surf City El Salvador Pro,"Punta Roca, La Libertad, El Salvador",https://www.worldsurfleague.com/events/2024/ct/202/surf-city-el-salvador-pro/results
4459,3,101292,1,13369,red,C. Simmers,13.83,0,WCT,Jun 6 - 15,Surf City El Salvador Pro,"Punta Roca, La Libertad, El Salvador",https://www.worldsurfleague.com/events/2024/ct/202/surf-city-el-salvador-pro/results
4459,3,101292,1,2026,blue,T. Weston-Webb,10.10,0,WCT,Jun 6 - 15,Surf City El Salvador Pro,"Punta Roca, La Libertad, El Salvador",https://www.worldsurfleague.com/events/2024/ct/202/surf-city-el-salvador-pro/results
4459,3,101293,2,10979,red,M. Picklum,12.10,0,WCT,Jun 6 - 15,Surf City El Salvador Pro,"Punta Roca, La Libertad, El Salvador",https://www.worldsurfleague.com/events/2024/ct/202/surf-city-el-salvador-pro/results
