event_id,round_number,heat_id,heat_number,athlete_id,singlet,name,score,waves
4447,1,98936,1,1433,red,T. Wright,11.67,6.17 + 5.50
4447,1,98936,1,14286,blue,B. Johnson,4.33,2.83 + 1.50
4447,1,98936,1,9984,white,L. Silva,7.67,4.00 + 3.67
4447,1,98937,2,64,red,C. Moore,5.23,3.50 + 1.73
4447,1,98937,2,321,blue,S. Fitzgibbons,6.66,4.33 + 2.33
4447,1,98937,2,3971,white,B. Hennessy,10.66,5.33 + 5.33
4447,1,98938,3,4688,yellow,C. Marks,5.84,3.17 + 2.67
4447,1,98938,3,9481,blue,I. Robinson,2.60,1.90 + 0.70
4447,1,98938,3,3969,white,M. Jones Wong,2.97,2.20 + 0.77
4447,1,98939,4,13369,red,C. Simmers,9.67,5.50 + 4.17
4447,1,98939,4,7854,blue,G. Bryan,8.13,4.53 + 3.60
4447,1,98939,4,4307,white,I. Nichols,2.06,1.13 + 0.93
4447,1,98940,5,10979,red,M. Picklum,15.83,8.50 + 7.33
4447,1,98940,5,2026,blue,T. Weston-Webb,6.83,4.83 + 2.00
4447,1,98940,5,9137,white,A. Spencer,9.17,5.17 + 4.00
4447,1,98941,6,2156,red,L. Peterson,4.70,3.00 + 1.70
4447,1,98941,6,1739,blue,J. Defay,5.30,4.50 + 0.80
4447,1,98941,6,14425,white,S. Lindblad,10.77,7.00 + 3.77
4447,2,98942,1,64,red,C. Moore,2.37,1.57 + 0.80
4447,2,98942,1,14286,blue,B. Johnson,6.33,4.33 + 2.00
4447,2,98942,1,4307,white,I. Nichols,5.43,2.83 + 2.60
4447,2,98943,2,2156,red,L. Peterson,5.80,3.80 + 2.00
4447,2,98943,2,2026,blue,T. Weston-Webb,7.50,4.50 + 3.00
4447,2,98943,2,9481,white,I. Robinson,6.73,4.00 + 2.73
4447,6,98958,1,13369,red,C. Simmers,12.66,0
4447,6,98958,1,10979,blue,M. Picklum,10.64,0
4447,3,98944,1,13369,red,C. Simmers,9.40,0
4447,3,98944,1,4307,white,I. Nichols,6.73,0
4447,3,98945,2,2026,blue,T. Weston-Webb,10.07,0
4447,3,98945,2,321,white,S. Fitzgibbons,9.34,0
4447,3,98946,3,1433,red,T. Wright,7.10,0
4447,3,98946,3,9984,white,L. Silva,7.53,0
4447,3,98947,4,7854,blue,G. Bryan,7.86,0
4447,3,98947,4,3971,white,B. Hennessy,8.67,0
4447,4,98952,1,13369,red,C. Simmers,15.84,0
4447,4,98952,1,2026,blue,T. Weston-Webb,5.36,0
4447,4,98953,2,9984,red,L. Silva,0.97,0
4447,4,98953,2,3971,blue,B. Hennessy,4.00,0
4447,5,98956,1,13369,red,C. Simmers,7.67,0
4447,5,98956,1,3971,blue,B. Hennessy,2.84,0
4447,3,98948,5,4688,yellow,C. Marks,8.34,0
4447,3,98948,5,3969,white,M. Jones Wong,5.30,0
4447,3,98949,6,14286,blue,B. Johnson,9.83,0
4447,3,98949,6,14425,white,S. Lindblad,7.60,0
4447,3,98950,7,10979,red,M. Picklum,15.50,0
4447,3,98950,7,9137,white,A. Spencer,6.04,0
4447,3,98951,8,1739,blue,J. Defay,8.67,0
4447,3,98951,8,9481,white,I. Robinson,8.00,0
4447,4,98954,3,4688,yellow,C. Marks,6.50,0
4447,4,98954,3,14286,blue,B. Johnson,15.70,0
4447,4,98955,4,10979,red,M. Picklum,12.50,0
4447,4,98955,4,1739,blue,J. Defay,6.63,0
4447,5,98957,2,14286,red,B. Johnson,15.33,0
4447,5,98957,2,10979,blue,M. Picklum,15.60,0
